Top Level Category,Category,Display Name,indicator,metric,boundaries,periodicity,period reference,period,time step,delineations,description,data source,heat factor
Heat Health Events,Projected changes to HHEs,Projected Average Tmin,Tmin of (projected) HHEs,degrees Fahrenheit,census,dynamic,projected,2020-2100,10-yr,"percentile, time of year, RCP",The average minimum temperature during future HHE,LOCA,
Heat Health Events,Projected changes to HHEs,Projected Average RHmax,RHmax of (projected) HHEs,%,census,dynamic,projected,2020-2100,10-yr,"percentile, time of year, RCP","The average maximum relative humidity during future HHE, most often occurs during coolest part of the night",LOCA,
Heat Health Events,Projected changes to HHEs,Projected Average RHmin,RHmin of (projected) HHEs,%,census,dynamic,projected,2020-2100,10-yr,"percentile, time of year, RCP","The average minimum relative humidity during future HHE, most often occurs during warmest part of the day",LOCA,
Heat Health Events,Projected changes to HHEs,Projected Average Duration,Projected average duration,days,census,dynamic,projected,2020-2100,10-yr,"percentile, time of year, RCP",The average length (days) of future heat health events,LOCA,
Heat Health Events,Projected changes to HHEs,Projected Annual Number of Events,number of (projected) HHEs,count,census,dynamic,projected,2020-2100,10-yr,"percentile, time of year, RCP",The annual average number of HHE expected to occur,LOCA,
Heat Health Events,Projected changes to HHEs,Duration-Relative Change (%),Projected change in event duration,%,census,dynamic,projected,2020-2100,10-yr,"percentile, time of year, RCP",The percent increase in event length,LOCA,
Heat Health Events,Projected changes to HHEs,Annual Frequency-Relative Change (%),Projected change in event frequency,%,census,dynamic,projected,2020-2100,10-yr,"percentile, time of year, RCP",The percent increase in event frequency,LOCA,
Vulnerability Indicators,Heat Health Action Index,Composite Score,Composite score,PCA composite,census,static,historical,variable,,,The composite score is a statistically weighted result (via Principal Comonent Analysis) of the indicators below and is intended to represent total heat and health vulnerability.,"Four Twenty Seven, Inc.",
Vulnerability Indicators,Social Vulnerability,Percent children,"PCT_Children, state rank, county rank",%,census,static,historical,2011-2015,,,Percent of population aged 5 years or younger,American Community Survey (ACS) 2015 Census,"Due to physiological and developmental factors, children are disproportionately impacted from the effects of heat waves, air pollution, infectious illnesses, and trauma resulting from climate change. Children, infants, and pregnant women are vulnerable to increased heat exposure because they may not be able to efficiently thermoregulate."
Vulnerability Indicators,Social Vulnerability,Percent without HS diploma,"PCT_NoHS, state rank, county rank",%,census,static,historical,2011-2015,,,Percent over the age of 25 with a HS diploma or GED,American Community Survey (ACS) 2015 Census,"Through three inter-related pathways, education influences health; health knowledge and behaviors; employment and income; and social and psychological factors. Completion of formal education (e.g., high school) is a key pathway to employment and access to healthier and higher paying jobs that can provide food, housing, transportation, health insurance, and other basic necessities for a healthy life. Education is linked with social and psychological factors, including sense of control, social standing and social support."
Vulnerability Indicators,Social Vulnerability,Percent elderly,"PCT_Elderly, state rank, county rank",%,census,static,historical,2011-2015,,,Percent of population aged 65 years or older,American Community Survey (ACS) 2015 Census,"Pre-existing health conditions (including cardiovascular diseases, respiratory illnesses, and diabetes), the side effects of some medications, and social isolation can increase susceptibility to more severe consequences of climate change for the elderly. Acute renal failure, electrolyte imbalance, and nephritis were the most common heat related morbidities among elderly in the 2006 California heat wave."
Vulnerability Indicators,Social Vulnerability,Percent outdoor workers,"PCT_OutdoorWorkers, state rank, county rank",%,census,static,historical,2006-2010,,,Percent of people employed and aged > 16 years working outdoors,American Community Survey (ACS) 2010 Census,"Outdoor occupations most at risk of heat stroke include construction, refining, surface mining, hazardous waste site activities, agriculture, forestry, and fishing. A review of miners, construction workers, farm laborers, first responders, and military personnel emphasized that heat-related illness may be the most common cause of nonfatal environmental emergency department admission in the United States and between 1992-2006, 68 farm workers died from heat stroke, representing a heat stroke rate nearly 20 times greater than all civilian workers in the country."
Vulnerability Indicators,Social Vulnerability,Population,"TractPopulation_current, state rank, county rank",%,census,static,historical,2011-2015,,,Number of residents,American Community Survey (ACS) 2015 Census,
Vulnerability Indicators,Social Vulnerability,Percent in poverty,"PCT_Poverty, state rank, county rank",%,census,static,historical,2011-2015,,,Percent of population whose income in the past year was below the national poverty level,American Community Survey (ACS) 2015 Census,"Poverty limits the acquisition of basic material necessities and it can impact the ability to live a healthy life and restricts people's access to housing, food, education, jobs, and transportation. Poverty is associated with societal exclusion and higher incidence and prevalence of mental illness and low income earners are more likely to be uninsured and to have limited access to quality health care, are more likely to suffer from chronic diseases like diabetes and heart disease, acute and chronic stress, and to die prematurely."
Vulnerability Indicators,Social Vulnerability,Percent two or more races,"PCT_Two+Races, state rank, county rank",%,census,static,historical,2011-2015,,,Percent of residents who identiy as two or more races,American Community Survey (ACS) 2015 Census,"The combination of greater exposure to climate change environmental impacts, increased sensitivity, and reduced adaptive capacity compound the overall vulnerability of race/ethnicity minorities to health impacts of climate change. Nationally, African-Americans were 52% more likely, Asians 32% more likely, and Hispanics 21% more likely than Whites to live in high risk areas where impervious surfaces covered more than half the ground and more than half the population lacked tree canopy."
Vulnerability Indicators,Social Vulnerability,Percent non-white,"PCT_NonWhite state rank, county rank",%,census,static,historical,2011-2015,,,Percent of residents who identiy as a race other than White,American Community Survey (ACS) 2015 Census,"The combination of greater exposure to climate change environmental impacts, increased sensitivity, and reduced adaptive capacity compound the overall vulnerability of race/ethnicity minorities to health impacts of climate change. Nationally, African-Americans were 52% more likely, Asians 32% more likely, and Hispanics 21% more likely than Whites to live in high risk areas where impervious surfaces covered more than half the ground and more than half the population lacked tree canopy."
Vulnerability Indicators,Social Vulnerability,Percent without a vehicle,"PCT_VehicleAccess, state rank, county rank",%,census,static,historical,2006-2010,,,Percent of occupied households with no vehicle ownership,American Community Survey (ACS) 2010 Census,"Vehicle ownership is a measure of mobility and access to transportation. Transportation is a critical resource for survival, because it improves access to evacuation and shelter from environmental exposures, such as wildfire, air pollution, heat waves, and flooding, allowing people to move to cooler areas or other safe areas."
Vulnerability Indicators,Social Vulnerability,Percent non-English speaking households,"PCT_LinguisticIsolation, state rank, county rank",%,census,static,historical,2011-2015,,,"A ""limited English speaking household"" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English ""very well."" In other words, all members 14 years old and over have at least some difficulty with English",American Community Survey (ACS) 2015 Census,"Linguistic isolation may hinder protective behaviors during extreme weather and disasters by limiting access to or understanding of health warnings. Additionally, natural disasters and extreme weather can lead to disruptions to management of chronic conditions for people who are socially or linguistically isolated. Low literacy in people who are linguistically isolated can be another barrier to accessing linguistically-appropriate health information."
Vulnerability Indicators,Social Vulnerability,Percent no transit access,"PCT_TransitAccess, state rank, county rank",%,census,static,historical,2011,,,Percent of population residing within at least 0.5 mile of a major transit stop,2012 transit stops from various city governments,"A strong and sustainable transportation system supports safe, reliable, and affordable transportation opportunities for walking, bicycling, and public transit, and helps reduce health inequities by providing more opportunities for access to healthy food, jobs, healthcare, education, and other essential services. Further, the transition from automobile-focused transport to public and active transport offers environmental health benefits, including reductions in air pollution, greenhouse gases and noise pollution, and leads to greater overall safety in transportation."
Vulnerability Indicators,Health,Asthma prevalence,"PCT_Asthma, state rank, county rank",%,census,static,historical,2013,,,"Asthma emergency department visits per 10,000 people","California Office of Statewide Health Planning and Development, 2013","Asthma symptoms can worsen during periods of extreme heat, which subsequently degrade air quality conditions, especially ozone levels. 
"
Vulnerability Indicators,Health,Percent low birth weight,"PCT_Low birth weight, state rank, county rank",%,census,static,historical,2012,,,Percent of low weight births (<5.5 lbs),"California Office of Statewide Health Planning and Development, 2012",Babies who weigh less than about five and a half pounds (2500 grams) at birth are considered. A growing body of literature has documented positive associations between increased apparent temperatures and adverse birth outcomes (Strand 2011; Beltran 2014; Chodick 2009).
Vulnerability Indicators,Health,Cardiovascular disease prevalence,"Heart Attacks per 1k, state rank, county rank",%,census,static,historical,2013,,,"Heart attacks per 1,000","California Office of Statewide Health Planning and Development, 2013",Nearly 46 percent of all victims from the 2006 California heat wave suffered from a pre-existing cardiovascular disease (Trent 2007). Short-term exposure to outdoor air pollution following a heart attack has also shown to increase the risk of death.
Vulnerability Indicators,Health,Percent ambulatory disability,"PCT_AmbulatoryDisability, state rank, county rank",%,census,static,historical,2011-2015,,,Percent of population having serious difficulty walking or climbing stairs,American Community Survey (ACS) 2015 Census,"Persons with physical disabilities face disadvantages with limited resources and mobility during the phases of evacuation , response, and recovery. Improved preparation is required to ensure preventable health impacts on those with physical disabilities due to climate change. A retrospective study among elderly population in Italy found that the following were significant risk factors for heat-related death: living in a nursing home or requiring assistance, cognitively impaired, taking a large number of drugs, and having a higher degree of disability."
Vulnerability Indicators,Health,Percent cognitive disability,"PCT_CognitiveDisability, state rank, county rank",%,census,static,historical,2011-2015,,,"Percent of population having physical, mental, or emotional problem, difficulty remembering, concentrating, or making decisions",American Community Survey (ACS) 2015 Census,"Climate change may affect people with mental health disabilities directly through exposure to trauma or by affecting their physical health. Persons with severe mental illness, such as schizophrenia, are at higher risk because their medications may interfere with self-regulation of body temperature. Increasing heat exposure can also worsen the clinical condition of people with pre-existing chronic diseases and mental health problems."
Vulnerability Indicators,Environment,PM2.5 concentration,"PM2.5_Concentration, state rank, county rank",ppm annual,census,static,historical,2009-2011,,,Annual mean ambient concentration of PM2.5,"Air Monitoring Network, California Air Resources Board (CARB)","Particulate matter (PM) is one of two indicators of air pollution, ozone being the other, that is linked to short- and long-term adverse health effects. PM2.5 is capable of reaching deep into the lungs and causing a host of diseases, including lung cancer, heart disease, respiratory disease, and acute respiratory infections. The health impacts of air pollution are likely to be exacerbated by climate change, because degradation of air quality will compound the health hazards posed by warmer temperature."
Vulnerability Indicators,Environment,Ozone exceedence,"OzoneExceedence, state rank",exceedance days (3-year),census,static,historical,2009-2011,,,Three-year ozone concentration exceedance above state standard,"Air Monitoring Network, California Air Resources Board (CARB)","Higher temperatures increase ground-level ozone and other secondary air pollutants created from chemical reactions with pollutants directly emitted from power plants, motor vehicles, and other sources, creating smog and air pollution. With projected increasing temperatures, demand for electric power generation will increase and may contribute further to poor air quality. Laboratory studies in which human subjects were exposed to measured concentrations of ozone for brief periods demonstrate that ozone can reduce lung function, increase respiratory symptoms, increase airway hyper-reactivity, and increase airway inflammation."
Vulnerability Indicators,Environment,Percent impervious surfaces,"PCT_ImperviousSurfaces, state rank, county rank",%,census,static,historical,2011,,,Percent of the land area covered by impervious surfaces (population weighted),"Multi-Resolution Land Characteristics Consortium, National Land Cover Database (NLCD) 2011","Impervious surfaces retain heat and limit absorption of water into the ground, which can lead to the urban heat island effect, a phenomenon in which urban areas are warmer than the surroudning non-urban areas. Communities of color are disproportionately represented in densely populated areas with more impervious surfaces, which increases their risk of exposure to heat stress. Studies in cities, including Montreal, Barcelona, Hong Kong, and Taiwan, and in the United States found associations between heat-related health effects and impervious surfaces."
Vulnerability Indicators,Environment,Change in development by 2050,PCT_DevelopedLand,%,census,static,projected,2050,,,Percent change (estimated) of land area from unpaved to paved due to development in 2050,"The Land Use and Carbon Scenario Simulator (LUCAS) by USGS, 2016","New areas of development driven by economic and population changes are likely to increase paved surfaces, and may thereby increase the opportunities for exposure to the urban heat island effect."
Vulnerability Indicators,Environment,Percent no tree canopy,"PCT_TreeCanopy, state rank, county rank",%,census,static,historical,2011,,,Percent of area not under tree canopy (population weighted),"Multi-Resolution Land Characteristics Consortium, National Land Cover Database (NLCD) 2011","Urban greening, such as parks and trees, may have a local cooling effect through shade and evapotranspiration: a systematic review of evidence linking urban greening and the air temperature of urban areas has shown that green sites are generally cooler than non-green sites. Evidence links tree canopy coverage to positive health outcomes from reduced exposure to ultraviolet radiation, reduced urban heat islands, and mitigation of air pollution."
Vulnerability Indicators,Environment,Urban Heat Island,UHII_AvgDeltaT,degrees delta,census,static,historical,2015,,,Temperature difference from nearby rural areas,"California Environmental Protection Agency, 2015","Urban heat island effects area a result of buildings and pavement absorbing heat during the day and then radiating that heat at night, which limits nighttime cooling and amplifies daytime high temperatures. UHI can have substantial implications for public health, since, in addition to high generating excess heat, air quality deteriorates in these areas as cooling energy demand increases, emissions of pollutants increase, and ozone formation accelerates"
